2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;
2440;2510;2510;2540;2540;2540;2540;2540;2540;2540;
2680;2680;2680;2680;2680;2680;2680;2680;2680;2680;
2490;2490;2490;2490;2490;2490;2490;2490;2490;2490;
2250;2250;2250;2250;2250;2250;2250;2250;2250;2250;
2170;2170;2170;2450;2450;2450;2450;2450;2450;2450;
1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;
1830;1830;1830;1830;1830;1830;1830;1830;1830;1830;
1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;
124940;125400;125010;127410;126690;129100;124890;129370;125080;127630;
140800;142460;139250;141710;144220;142880;138410;137890;140130;139400;
120460;124720;122550;120730;120820;124130;123180;122180;124400;122650;
107130;107380;106170;106910;107870;104330;104570;106450;106730;109100;
99660;99660;98130;97830;96730;97500;95260;97130;97490;97220;
104120;104880;105690;105570;101620;100850;105710;104400;103340;103730;
85930;85010;84210;83510;84890;87030;86500;85500;86280;83080;
82880;82310;86840;84340;84480;83650;84050;86460;85930;83050;
91270;85670;84020;86960;85810;85860;87900;85900;86270;85070;
420730;427670;423250;424220;424920;421970;428650;419550;424790;420100;
438250;434320;430900;430030;437890;433180;432110;432780;426050;434130;
461720;459310;456700;456450;457360;454320;457490;449360;452800;458030;
327420;336560;329440;331150;333980;325260;324160;331650;329710;323530;
311840;314060;300740;307900;303330;314440;310320;310120;305310;300700;
335520;338940;330870;337670;336730;342340;341140;332200;324080;337760;
303410;308900;304610;299950;304330;294960;300910;292680;310240;295460;
268630;282390;272800;277360;274930;280060;272320;277110;277640;269700;
285560;286420;290130;289330;293960;286670;288760;283780;292160;292950;
